variant,cost_model,latency_ms,trades,net_pnl,win_rate,profit_factor,max_dd,avg_pnl_per_trade
C_impulse_plus_sync_plus_liquidity_vacuum,half_point_roundtrip,0,5,-1449.9999999999745,0.4,0.1714285714285726,-1449.9999999999743,-289.9999999999949
C_impulse_plus_sync_plus_liquidity_vacuum,half_point_roundtrip,250,5,-1449.9999999999745,0.4,0.1714285714285726,-1449.9999999999743,-289.9999999999949
C_impulse_plus_sync_plus_liquidity_vacuum,half_point_roundtrip,500,5,-1449.9999999999745,0.4,0.1714285714285726,-1449.9999999999743,-289.9999999999949
C_impulse_plus_sync_plus_liquidity_vacuum,half_point_roundtrip,1000,5,-3349.9999999999804,0.0,0.0,-3349.99999999998,-669.9999999999961
C_impulse_plus_sync_plus_liquidity_vacuum,half_point_roundtrip,2000,5,-2375.000000000014,0.0,0.0,-2375.0000000000146,-475.00000000000284
C_impulse_plus_sync_plus_liquidity_vacuum,ltp_ltp,0,5,-199.99999999997442,0.6,0.8048780487805084,-1000.0,-39.999999999994884
C_impulse_plus_sync_plus_liquidity_vacuum,ltp_ltp,250,5,-199.99999999997442,0.6,0.8048780487805084,-1000.0,-39.999999999994884
C_impulse_plus_sync_plus_liquidity_vacuum,ltp_ltp,500,5,-199.99999999997442,0.6,0.8048780487805084,-1000.0,-39.999999999994884
C_impulse_plus_sync_plus_liquidity_vacuum,ltp_ltp,1000,5,-2099.99999999998,0.0,0.0,-2099.99999999998,-419.999999999996
C_impulse_plus_sync_plus_liquidity_vacuum,ltp_ltp,2000,5,-1125.000000000014,0.2,0.021739130434763,-1149.9999999999914,-225.0000000000028
C_impulse_plus_sync_plus_liquidity_vacuum,one_point_roundtrip,0,5,-2699.999999999975,0.0,0.0,-2699.9999999999745,-539.999999999995
C_impulse_plus_sync_plus_liquidity_vacuum,one_point_roundtrip,250,5,-2699.999999999975,0.0,0.0,-2699.9999999999745,-539.999999999995
C_impulse_plus_sync_plus_liquidity_vacuum,one_point_roundtrip,500,5,-2699.999999999975,0.0,0.0,-2699.9999999999745,-539.999999999995
C_impulse_plus_sync_plus_liquidity_vacuum,one_point_roundtrip,1000,5,-4599.99999999998,0.0,0.0,-4599.99999999998,-919.999999999996
C_impulse_plus_sync_plus_liquidity_vacuum,one_point_roundtrip,2000,5,-3625.0000000000136,0.0,0.0,-3625.0000000000136,-725.0000000000027
