impulse_type,impulse_horizon_seconds,underlying_threshold_points,entry_lag_seconds,strike_bucket,max_hold_seconds,spread_pct_threshold,depth_threshold,event_count,tradable_event_count,harvest_3pt_rate,avg_mfe,avg_mae,net_expectancy_after_0_5_cost,worst_day_expectancy
U_5S_30PTS,5,30.0,1,ATM_100,5,0.01,500,4,4,0.25,2.737500000000008,-1.3125000000000018,0.9000000000000021,0.10000000000002274
U_5S_30PTS,5,30.0,1,ATM_100,5,0.015,500,4,4,0.25,2.737500000000008,-1.3125000000000018,0.9000000000000021,0.10000000000002274
U_3S_20PTS,3,20.0,1,ATM,10,0.015,250,18,18,0.3888888888888889,4.261111111111113,-2.474999999999997,0.8944444444444477,-7.399999999999977
U_3S_20PTS,3,20.0,0,ATM,10,0.015,500,13,13,0.15384615384615385,3.480769230769229,-1.5692307692307697,0.8923076923076911,0.8923076923076911
ACCEL_SPIKE,3,20.0,0,ATM,10,0.015,500,13,13,0.15384615384615385,3.480769230769229,-1.5692307692307697,0.8923076923076911,0.8923076923076911
U_1S_10PTS,1,10.0,0,ATM,10,0.015,250,55,55,0.41818181818181815,3.754545454545454,-2.1645454545454554,0.8918181818181814,-3.1750000000000114
U_2S_20PTS,2,20.0,0,ATM,5,0.015,500,6,6,0.16666666666666666,2.366666666666669,-0.7583333333333329,0.891666666666667,0.891666666666667
U_3S_20PTS,3,20.0,1,ATM,10,0.01,250,16,16,0.4375,4.571875000000002,-2.7843749999999967,0.890625000000004,-7.399999999999977
U_3S_30PTS,3,30.0,2,ATM_200,10,0.005,500,3,3,0.3333333333333333,1.9333333333333325,-1.3166666666666664,0.8833333333333341,0.8833333333333341
U_5S_30PTS,5,30.0,0,ATM_100,3,0.01,500,5,5,0.2,1.7900000000000005,-0.28999999999999987,0.8800000000000004,0.8800000000000004
U_1S_15PTS,1,15.0,2,ATM_100,3,0.005,250,30,30,0.2,1.9899999999999984,-0.7533333333333332,0.8733333333333321,0.28888888888888836
U_1S_15PTS,1,15.0,0,ATM,3,0.005,500,4,4,0.25,2.1875,-0.9625000000000021,0.8625000000000007,0.8625000000000007
U_1S_20PTS,1,20.0,0,ATM,3,0.005,500,4,4,0.25,2.1875,-0.9625000000000021,0.8625000000000007,0.8625000000000007
U_1S_20PTS,1,20.0,0,ATM,3,0.01,500,4,4,0.25,2.1875,-0.9625000000000021,0.8625000000000007,0.8625000000000007
U_1S_20PTS,1,20.0,0,ATM,3,0.015,500,4,4,0.25,2.1875,-0.9625000000000021,0.8625000000000007,0.8625000000000007
U_2S_15PTS,2,15.0,0,ATM,3,0.005,500,4,4,0.25,2.1875,-0.9625000000000021,0.8625000000000007,0.8625000000000007
U_2S_20PTS,2,20.0,0,ATM,3,0.005,500,4,4,0.25,2.1875,-0.9625000000000021,0.8625000000000007,0.8625000000000007
U_2S_20PTS,2,20.0,0,ATM,3,0.01,500,4,4,0.25,2.1875,-0.9625000000000021,0.8625000000000007,0.8625000000000007
U_1S_15PTS,1,15.0,0,ATM,5,0.01,250,16,16,0.4375,3.221875,-1.1593750000000036,0.8624999999999953,-0.030769230769231343
U_2S_25PTS,2,25.0,2,ATM_100,5,0.005,250,7,7,0.2857142857142857,2.607142857142855,-1.2357142857142844,0.8428571428571426,0.8428571428571426
U_2S_25PTS,2,25.0,2,ATM_100,5,0.01,250,7,7,0.2857142857142857,2.607142857142855,-1.2357142857142844,0.8428571428571426,0.8428571428571426
U_2S_25PTS,2,25.0,2,ATM_100,5,0.015,250,7,7,0.2857142857142857,2.607142857142855,-1.2357142857142844,0.8428571428571426,0.8428571428571426
U_1S_10PTS,1,10.0,0,ATM,10,0.01,500,17,17,0.29411764705882354,3.2500000000000004,-1.9,0.8352941176470574,0.1999999999999985
U_2S_15PTS,2,15.0,1,ATM,3,0.005,250,18,18,0.3888888888888889,2.561111111111114,-1.213888888888892,0.8333333333333347,-2.6000000000000227
U_3S_20PTS,3,20.0,1,ATM,3,0.005,250,11,11,0.2727272727272727,2.8863636363636376,-1.7272727272727229,0.8227272727272763,-7.399999999999977
U_1S_20PTS,1,20.0,3,ATM_100,10,0.015,500,3,3,0.3333333333333333,2.0000000000000027,-1.3833333333333309,0.8166666666666688,0.8166666666666688
U_3S_30PTS,3,30.0,1,ATM_100,10,0.01,250,7,7,0.42857142857142855,3.1714285714285686,-3.1714285714285717,0.814285714285714,0.814285714285714
