date,side,atm_bucket,lag_seconds,correlation,sample_count
2026-04-28,PUT,ATM,-8,0.012180939151800334,31172
2026-04-28,PUT,ATM,-7,0.007883526503415547,31173
2026-04-28,PUT,ATM,-6,0.012693676986011745,31174
2026-04-28,PUT,ATM,-5,0.00869456860107932,31175
2026-04-28,PUT,ATM,-4,0.011346267335057034,31176
2026-04-28,PUT,ATM,-3,0.013012064579447626,31177
2026-04-28,PUT,ATM,-2,0.025307147033810505,31178
2026-04-28,PUT,ATM,-1,0.03304355131400382,31179
2026-04-28,PUT,ATM,0,0.010845091292205483,31180
2026-04-28,PUT,ATM,1,0.0048018667920089,31179
2026-04-28,PUT,ATM,2,-0.002403683986290734,31178
2026-04-28,PUT,ATM,3,0.0022056547131160537,31177
2026-04-28,PUT,ATM,4,-0.0014090539262544787,31176
2026-04-28,PUT,ATM,5,0.00275343312341726,31175
2026-04-28,PUT,ATM,6,0.0009296540795694774,31174
2026-04-28,PUT,ATM,7,0.001087594448274883,31173
2026-04-28,PUT,ATM,8,-0.0010501609641511028,31172
2026-04-28,PUT,ATM,9,-0.0009488093251896984,31171
2026-04-28,PUT,ATM,10,-0.0024278818998131964,31170
2026-04-28,PUT,ATM_100,-10,0.008997266067411247,31170
2026-04-28,PUT,ATM_100,-9,0.010460086837351444,31171
2026-04-28,PUT,ATM_100,-8,0.015237514909944006,31172
2026-04-28,PUT,ATM_100,-7,0.010790985741527136,31173
2026-04-28,PUT,ATM_100,-6,0.012404627365334715,31174
2026-04-28,PUT,ATM_100,-5,0.00851131423493377,31175
2026-04-28,PUT,ATM_100,-4,0.015147863562944954,31176
2026-04-28,PUT,ATM_100,-3,0.015011513492557426,31177
2026-04-28,PUT,ATM_100,-2,0.030830976212357978,31178
2026-04-28,PUT,ATM_100,-1,0.04187744015903509,31179
2026-04-28,PUT,ATM_100,0,0.003590411476086,31180
2026-04-28,PUT,ATM_100,1,0.006269581190713084,31179
2026-04-28,PUT,ATM_100,2,0.00017020901027452106,31178
2026-04-28,PUT,ATM_100,3,0.0005826607379102079,31177
2026-04-28,PUT,ATM_100,4,0.0016701917736117588,31176
2026-04-28,PUT,ATM_100,5,0.0016581508852039546,31175
2026-04-28,PUT,ATM_100,6,0.00241553202923652,31174
2026-04-28,PUT,ATM_100,7,-0.0018707845253899363,31173
